Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,16077921111,17473608329,19383486828,20638722791,21271145488,20890179436,21633673385
Albania,11926948284,12230541057,12403876431,12528161776,12750472386,13034808438,13473598587
Algeria,1.61207E+11,1.65882E+11,1.71522E+11,1.76325E+11,1.83025E+11,1.89797E+11,1.96061E+11
Andorra,3355495581,3199581034,3147900820,3158970256,3230921589,3258132524,3298280649
Angola,83799484640,86708986251,94115795608,98778847845,1.02821E+11,1.03777E+11,1.03087E+11
Anguilla,267930744.1,278880112.2,261156456.8,259567111,272577713.2,281209745.9,284402232.3
Antigua and Barbuda,1147940741,1124073597,1163490477,1162282006,1221582016,1271185676,1339098097
Argentina,4.26487E+11,4.52094E+11,4.47453E+11,4.58216E+11,4.46703E+11,4.58528E+11,4.4799E+11
Armenia,9875378350,10334658430,11075162688,11435963237,11852476474,12235967513,12259109584
Aruba,2390502793,2475272396,2441364555,2543858711,2565436428,2553876936,2548482507
Australia,1.29379E+12,1.34081E+12,1.37527E+12,1.41116E+12,1.44533E+12,1.48531E+12,1.51469E+12
Austria,3.91893E+11,4.02897E+11,4.05902E+11,4.06406E+11,4.09027E+11,4.12966E+11,4.19081E+11
Azerbaijan,52905998879,52052462458,53146247711,56263347679,57758075383,58132499428,56685465274
Bahamas,10095768962,10157648811,10471177063,10411791068,10282372574,9966591450,9983098412
Bahrain,25713271277,26223287378,27200967372,28674400162,29921816519,30778882912,31779421069
Bangladesh,1.14508E+11,1.2191E+11,1.2986E+11,1.3767E+11,1.46014E+11,1.55582E+11,1.66649E+11
Barbados,4364850000,4399768801,4412968107,4408555139,4412963696,4452680368,4528375933
Belarus,57231905886,60405536997,61461142726,62045575990,63129497161,60711906195,59108584935
Belgium,4.83549E+11,4.92244E+11,4.93401E+11,4.94391E+11,5.01072E+11,5.08109E+11,5.15558E+11
Belize,1397115000,1426513594,1481071863,1491904215,1553079307,1597683815,1588188748
Benin,6970254725,7176836247,7510156842,8026735018,8551721201,8979307261,9428272624
Bermuda,5855331000,5596195122,5370398004,5263878266,5249522105,5281353895,5274854615
Bhutan,1585464266,1710584163,1797329510,1835833319,1941310400,2069387270,2234745911
Bolivia (Plurinational State of),19649786223,20672366428,21731262044,23208121055,24475416676,25664233490,26758536005
Bosnia and Herzegovina,17176320803,17340477561,17197264429,17601544136,17803911066,18351175147,18941245864
Botswana,12786614682,13559989586,14164245397,15770955228,16425333184,16146112481,16839037704
Brazil,2.20884E+12,2.29663E+12,2.34075E+12,2.41108E+12,2.42324E+12,2.3319E+12,2.24807E+12
