Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Developing countries d,21821.4,23163.9,24335.6,25540.2,26673.5,27725.4,28781.2,30020.9,31388.3,32872.1
Africa,1943.8,1971.2,2088.8,2134.5,2216,2284.7,2322.7,2392.9,2476.9,2567.3
North Africa,664.1,630.6,683.9,664.4,676.9,698.4,717.8,752.3,783.3,815.2
Algeria,161.2073,165.8823,171.5223,176.3249,183.0253,189.9803,195.8088,201.3301,206.6408,211.2175
Egypt,229.2551,233.8342,238.9008,244.0834,251.961,261.8882,271.9709,281.7697,292.8811,305.9572
Libya,80.9424,31.3504,70.4473,33.7246,25.6307,23.0164,22.3314,32.5815,37.8597,42.5164
Mauritania,4.3378,4.528,4.7983,5.0977,5.3821,5.549,5.6433,5.8577,6.1625,6.4837
Morocco,93.2172,99.0643,101.3409,106.3285,109.1993,114.1133,115.4826,120.3536,125.2552,130.262
Sudan,51.069,52.7022,52.0442,52.8291,54.6265,56.409,58.6786,61.2113,63.7477,66.3379
Tunisia,44.0511,43.2064,44.8917,45.9892,47.0266,47.4028,47.8769,49.2093,50.7668,52.4656
East Africa,165.192,177.0625,187.5085,200.53,214.5736,228.9202,241.2597,254.1563,269.0241,285.7107
Burundi,2.0321,2.1141,2.2077,2.3158,2.4247,2.3252,2.301,2.3014,2.3007,2.368
Comoros,1.0484,1.1002,1.134,1.243,1.3167,1.3505,1.4112,1.4503,1.4945,1.5493
Democratic Republic of the Congo,21.672,23.1619,24.8035,26.9071,29.4554,31.4878,32.275,33.2432,34.2406,35.6786
Djibouti,1.067,1.115,1.1685,1.2269,1.3005,1.3851,1.4779,1.5784,1.6854,1.7988
Eritrea,2.117,2.3008,2.4623,2.5374,2.6639,2.7911,2.8876,2.9811,3.0819,3.1991
Ethiopia,30.8475,34.1941,37.4829,41.3919,45.5062,49.8783,53.669,57.1575,61.3447,65.9183
Kenya,39.9997,42.4443,44.3776,46.9043,49.4051,52.1961,55.2235,58.0951,61.5005,65.2192
Madagascar,8.7299,8.8569,9.1251,9.3308,9.6407,9.933,10.3403,10.7849,11.2672,11.8067
Rwanda,5.6985,6.146,6.6861,6.9993,7.4867,8.0071,8.4763,8.9917,9.596,10.2694
Somalia,1.0712,1.099,1.1276,1.1569,1.187,1.2179,1.2495,1.2808,1.3226,1.374
Uganda,19.8032,20.966,21.6435,22.6637,23.6973,25.041,25.6227,26.9551,28.4983,30.2011
United Republic of Tanzania,31.1054,33.5642,35.2897,37.8528,40.4894,43.3072,46.3257,49.3368,52.6919,56.3282
Central Africa,79.6,83.8,89,89.6,93.5,95.1,95.6,96.3,98.3,100.8
Cameroon,26.1438,27.2234,28.4602,29.9983,31.7634,33.5585,35.052,36.3839,37.9848,39.7701
Central African Republic,2.0338,2.0753,2.1355,1.3517,1.3658,1.4314,1.2841,1.3445,1.4117,1.4851
Chad,9.7911,10.408,11.709,11.0181,11.3928,11.894,11.4896,11.5011,11.8462,12.2963
Congo,12.281,12.6978,13.1839,13.6153,14.5469,14.7215,15.2767,15.1851,15.5799,15.5954
Equatorial Guinea,16.2985,17.3618,18.8051,18.0279,18.1027,16.4683,14.9976,14.1128,13.2801,12.802
Gabon,12.882,13.7966,14.5278,15.3414,16.1085,16.7549,17.2881,17.4782,17.9502,18.5784
Sao Tome and Principe,0.2058,0.2148,0.2216,0.2322,0.2473,0.2568,0.2571,0.27,0.2843,0.2994
West Africa,488.5,512.8,540.1,571.4,606.4,626.1,628.1,642.9,664.3,687.2
Benin,6.9703,7.1768,7.5102,8.0267,8.5517,8.9793,9.4283,9.9374,10.5336,11.1867
Burkina Faso,8.98,9.5751,10.1929,10.7833,11.2499,11.6881,12.3794,13.1717,14.0147,14.8976
Cabo Verde,1.6643,1.7304,1.7491,1.7631,1.796,1.8221,1.8917,1.9655,2.0402,2.1218
Côte D’Ivoire,24.8845,23.7928,26.3401,28.7683,31.2233,34.0646,36.8238,39.4015,42.1202,44.9843
Gambia,0.9524,0.9112,0.9646,1.0108,1.0196,1.0677,1.0901,1.1185,1.1587,1.2039
Ghana,32.1742,36.6938,40.1036,43.0362,44.7516,46.4522,48.1709,51.4465,55.305,58.568
Guinea,6.8534,7.2381,7.6662,7.9688,8.2633,8.6323,9.0829,9.5915,10.1095,10.615
Guinea Bissau,0.8491,0.9177,0.902,0.9313,0.9333,0.981,1.032,1.0877,1.1399,1.1981
Liberia,1.074,1.1359,1.2288,1.3281,1.3372,1.341,1.3195,1.3578,1.4162,1.4912
Mali,10.6787,11.5063,12.7968,13.6945,14.7611,15.8846,17.1346,18.0427,18.9629,19.8731
Niger,5.7186,5.8489,6.542,6.8866,7.4051,7.6982,8.0859,8.5063,8.9742,9.5037
Nigeria,369.0624,387.0999,403.665,425.4404,452.2845,464.2822,457.04,461.1534,470.8375,482.1376
Senegal,12.9257,13.1533,13.7335,14.2122,14.8249,15.7913,16.8335,17.9108,19.0571,20.2768
Sierra Leone,2.578,2.7408,3.1567,3.8109,3.9848,3.1758,3.3685,3.5538,3.7563,3.9968
Togo,3.1726,3.3275,3.5437,3.7599,3.9889,4.2073,4.4219,4.6429,4.889,5.1579
Southern Africa,546.4,566.9,588.2,608.6,624.7,636.3,639.9,647.3,661.9,678.3
Angola,83.7995,86.709,94.1158,98.7788,102.8214,105.9132,105.2085,107.2074,110.1539,113.173
Botswana,12.7866,13.56,14.1642,15.771,16.4253,16.1461,16.839,17.5126,18.1781,18.9052
Lesotho,2.1347,2.2762,2.4105,2.4624,2.5185,2.6599,2.7361,2.815,2.9177,3.0285
Malawi,6.9597,7.2975,7.2534,7.7073,8.2141,8.4445,8.6945,9.0249,9.4209,9.897
Mauritius,9.7183,10.0963,10.4216,10.754,11.1431,11.5338,11.949,12.3672,12.8306,13.3293
Mozambique,10.1542,10.877,11.66,12.4926,13.4226,14.3098,14.8536,15.4626,16.0502,16.6761
Namibia,11.2822,11.8566,12.4567,13.1561,13.9917,14.83,14.9903,14.8404,15.3153,15.8054
South Africa,375.3483,387.6752,396.2558,406.1195,413.0219,418.3864,419.5554,422.0729,429.5793,438.6663
Swaziland,4.5264,4.6125,4.7706,4.9888,5.1259,5.2108,5.2105,5.2626,5.362,5.4472
Zambia,20.2654,21.3931,23.0185,24.1831,25.3176,26.058,26.9986,27.8625,29.0327,30.2231
Zimbabwe,9.422,10.5441,11.658,12.1807,12.6494,12.7852,12.8685,12.8685,13.058,13.1904
East and South Asia,12284.9,13187.5,13964.1,14805.6,15712.2,16624.4,17625.1,18677.3,19768.6,20926.7
East Asia,9843.4,10587.1,11276,11999.2,12734.4,13461.7,14220,15056.2,15911.6,16800.3
