Rank,Country,elections,seats_lower_house,lower_women,lower_percentage_women,Elections_u_h,seats_upper_house,upper_women,upper_percentage_woen
1,Rwanda,16.09.2013,80,49,0.613,26.09.2011,26,10,38.50%
2,Bolivia,12.10.2014,130,69,0.531,12.10.2014,36,17,47.20%
3,Cuba,03.02.2013,612,299,0.489,---,---,---,---
4,Nicaragua,06.11.2016,92,42,0.457,---,---,---,---
5,Sweden,14.09.2014,349,152,0.436,---,---,---,---
6,Mexico,07.06.2015,500,213,0.426,01.07.2012,128,47,36.70%
7,Finland,19.04.2015,200,84,0.42,---,---,---,---
8,Senegal,30.07.2017,165,69,0.418,---,---,---,---
"""",South Africa 1,07.05.2014,392,164,0.418,21.05.2014,54,19,35.20%
10,Norway,11.09.2017,169,70,0.414,---,---,---,---
11,Namibia,29.11.2014,104,43,0.413,08.12.2015,42,10,23.80%
12,Mozambique,15.10.2014,250,99,0.396,---,---,---,---
13,Spain,26.06.2016,350,137,0.391,26.06.2016,266,101,38.00%
14,France,11.06.2017,577,225,0.39,24.09.2017,348,102,29.30%
15,Ethiopia,24.05.2015,547,212,0.388,05.10.2015,153,49,32.00%
16,New Zealand,23.09.2017,120,46,0.383,---,---,---,---
17,Argentina,22.10.2017,257,98,0.381,22.10.2017,72,30,41.70%
"""",Iceland,28.10.2017,63,24,0.381,---,---,---,---
19,Belgium,25.05.2014,150,57,0.38,03.07.2014,60,30,50.00%
"""",Ecuador,19.02.2017,137,52,0.38,---,---,---,---
21,The F.Y.R. of Macedonia,11.12.2016,120,45,0.375,---,---,---,---
22,Denmark,18.06.2015,179,67,0.374,---,---,---,---
23,United Republic of Tanzania,25.10.2015,390,145,0.372,---,---,---,---
24,Slovenia,13.07.2014,90,33,0.367,22.11.2017,39,4,10.30%
25,Burundi,29.06.2015,121,44,0.364,24.07.2015,43,18,41.90%
26,Netherlands,15.03.2017,150,54,0.36,26.05.2015,75,26,34.70%
27,Costa Rica,02.02.2014,57,20,0.351,---,---,---,---
28,Portugal,04.10.2015,230,80,0.348,---,---,---,---
29,Belarus,11.09.2016,110,38,0.345,30.08.2012,56,17,30.40%
30,Austria,15.10.2017,183,63,0.344,N.A.,61,19,31.10%
"""",Serbia,24.04.2016,250,86,0.344,---,---,---,---
32,Uganda,18.02.2016,449,154,0.343,---,---,---,---
33,Grenada,19.02.2013,15,5,0.333,27.03.2013,13,2,15.40%
34,Zimbabwe,31.07.2013,264,86,0.326,31.07.2013,79,38,48.10%
35,Switzerland,18.10.2015,200,65,0.325,23.10.2011,46,7,15.20%
36,Timor-Leste,22.07.2017,65,21,0.323,---,---,---,---
37,Andorra,01.03.2015,28,9,0.321,---,---,---,---
"""",El Salvador,01.03.2015,84,27,0.321,---,---,---,---
39,United Kingdom,08.06.2017,650,208,0.32,N.A.,805,207,25.70%
40,Guyana,11.05.2015,69,22,0.319,---,---,---,---
41,Tunisia,26.10.2014,217,68,0.313,---,---,---,---
42,Cameroon,30.09.2013,180,56,0.311,14.04.2013,100,20,20.00%
43,Italy,24.02.2013,630,195,0.31,24.02.2013,320,91,28.40%
"""",Trinidad and Tobago,07.09.2015,42,13,0.31,23.09.2015,31,9,29.00%
45,Germany,24.09.2017,709,218,0.307,N.A.,69,27,39.10%
46,Angola,23.08.2017,220,67,0.305,---,---,---,---
"""",Sudan,13.04.2015,426,130,0.305,01.06.2015,54,19,35.20%
48,Nepal,19.11.2013,595,176,0.296,---,---,---,---
49,Philippines,09.05.2016,292,86,0.295,09.05.2016,24,6,25.00%
50,Australia,02.07.2016,150,43,0.287,02.07.2016,76,31,40.80%
51,South Sudan,04.08.2016,383,109,0.285,05.08.2011,50,6,12.00%
52,Luxembourg,20.10.2013,60,17,0.283,---,---,---,---
