Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.2770909,-13.13229887,-6.438593515,-7.866300282,-4.64723925,-3.168629393,-2.062887352,-0.000597825,-0.019575542
Angola,4.655572383,-4.454537969,-7.3549425,3.447281129,8.676829536,4.643583382,-0.332480216,-6.57715989,-3.30306804,-4.794559151,-5.579828999,-1.667810773,-2.166735102,-2.445124036,-2.580967626,-2.287395368,-2.037691567
Argentina,-0.10798962,0.23296026,-2.601179432,-1.441555399,-2.744693904,-3.017153372,-3.252804029,-4.251477149,-5.787216151,-6.357285637,-6.456981898,-5.500353698,-4.879333304,-3.99293538,-4.157184336,-4.562365157,-4.77230564
Armenia,,,,,,,,,,,,,,,,,
Australia,1.480025197,-1.103113868,-4.553089958,-5.10134173,-4.444770737,-3.431919016,-2.767660053,-2.878131918,-2.783415792,-2.644769163,-2.182348604,-1.714612593,-1.055991975,-0.127803752,0.218392282,0.218462886,0.219377574
Austria,-1.382364614,-1.521402197,-5.355728762,-4.453403655,-2.5771333,-2.211242323,-1.361278527,-2.716891659,-1.063388189,-1.536950933,-0.841625736,-0.31247532,-0.163942578,-0.186836012,-0.246800096,-0.35060812,-0.536584079
Azerbaijan,2.33710871,17.19381939,5.852890415,13.83124453,10.85964091,3.705480028,1.643475099,2.742339379,-4.811869847,-1.170105074,0.907964074,2.35687017,2.14505121,1.81467908,0.602250786,-0.619604279,-1.568303804
Bahrain,,,,,,,,,,,,,,,,,
Bangladesh,-2.232744899,-4.030652684,-3.210027688,-2.675356067,-3.589160486,-2.978395739,-3.380968216,-3.076787055,-3.974927541,-3.361314568,-3.339583242,-4.131719334,-4.569861859,-4.260368031,-4.233672896,-4.284216094,-4.140889434
Belarus,-8.086999839,-11.27461872,-7.231963268,-4.186628048,-2.805920045,0.359824811,-0.981959041,0.092110405,-2.194000882,-3.361061342,-1.717903105,-2.392824339,-3.004626148,-1.222740653,-0.876039772,-0.625659803,-0.497945491
Belgium,0.069043143,-1.100077387,-5.379880211,-3.997261024,-4.12574814,-4.226580645,-3.137576751,-3.056299464,-2.471761736,-2.489552013,-1.113592334,-1.306724714,-1.348547837,-1.268641902,-1.25452316,-1.288574975,-1.272582893
Benin,0.303433637,-0.055905486,-3.062729677,-0.376593279,-1.341132735,-0.294603892,-1.865515016,-2.255749547,-7.623926601,-5.909595625,-5.755096254,-4.676753604,-1.999981746,-0.723276326,-0.155906712,0.649053426,1.223313021
Bolivia,1.740780407,3.569484155,0.014122068,1.665902006,0.831387469,1.756819956,0.656366485,-3.363624188,-6.903827785,-6.622378336,-7.310143766,-6.162409347,-5.479050743,-5.082539036,-4.813273555,-4.364907724,-4.094118855
Brazil,-2.739237232,-1.534243147,-3.190499896,-2.728616513,-2.467117454,-2.519515769,-2.955534387,-5.354541835,-10.32871408,-9.010492566,-7.819471493,-8.333531238,-8.293164042,-7.89248283,-7.59322125,-6.994643589,-6.555912834
Brunei Darussalam,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,
Burkina Faso,-5.640279722,-4.079640482,-4.679250592,-4.564419077,-2.294329956,-3.108656768,-3.99008453,-1.954460583,-2.372059277,-3.496476221,-8.209294814,-5.0499,-3.04,-3.04,-3.04,-3.04,-3.04
Cambodia,0.726747535,0.503094496,-4.052491838,-2.848250368,-4.076034002,-3.796885733,-2.140294521,-1.13298383,-1.576037805,-1.688637029,-3.622794662,-4.831173951,-4.667388621,-4.278466545,-4.209922596,-4.033057213,-3.898338833
Cameroon,4.264976569,1.970975568,-0.043528538,-0.980051223,-2.354505362,-1.446431669,-3.705266412,-4.170661262,-4.421641287,-6.166331737,-4.287368589,-2.162393868,-1.814713623,-1.625438389,-1.439981279,-1.424005117,-1.437897342
Canada,1.824430644,0.184884595,-3.891180421,-4.748726032,-3.316475707,-2.530601138,-1.498420843,0.175009032,-0.129679971,-1.09687714,-0.97039025,-0.836122986,-0.77197068,-0.706765221,-0.681910214,-0.697700233,-0.702560229
Chad,2.524757568,3.614315932,-9.203228787,-4.151880108,2.390733779,0.473324109,-2.064918247,-4.181704646,-4.38068964,-1.956338932,-0.878047096,0.940177539,-0.10802261,0.6479902,0.567027078,1.428789857,1.634883528
Chile,7.913044065,3.933594577,-4.24086116,-0.360718615,1.421499746,0.680984643,-0.469566029,-1.489933993,-2.075897171,-2.650745511,-2.717779388,-0.932666841,-0.569482522,-0.380922135,-0.034505666,-0.025079355,-0.006201043
"China, People's Republic of",0.058678836,-0.024628844,-1.73963441,-0.360037103,-0.097708506,-0.30062817,-0.831859119,-0.90773583,-2.786319115,-3.703716448,-3.953149079,-4.145403913,-4.270381882,-4.272159673,-4.330580179,-4.362961621,-4.330464168
Colombia,-0.847212143,-0.252882632,-2.794240089,-3.29785496,-1.990169339,0.081066293,-0.859670988,-1.770371811,-3.412385274,-2.952363802,-3.096328135,-2.69310868,-1.904781118,-0.858497873,-0.740776651,-0.658391012,-0.787930408
"Congo, Dem. Rep. of the",0.561380448,-0.409102195,1.03093903,-0.903990629,-0.945710859,1.967170682,1.952343069,0.110567742,-0.246608706,-1.010351579,-2.546264639,0.066739875,0.060724392,0.087390596,0.021276403,0.003245289,0.003059682
"Congo, Republic of ",10.60058458,27.24740503,4.931855543,15.53813492,15.39286638,7.47576662,-4.965160417,-16.70349937,-27.24820583,-22.55216214,-7.201328364,3.853143262,5.005763347,4.093869708,2.027445941,2.103999128,0.704461761
Croatia,-2.445060145,-2.762385493,-5.995782044,-6.174698429,-7.827369166,-5.302998253,-5.264595291,-5.350912412,-3.347179118,-0.851559546,0.604261676,-0.524461285,-0.340913562,0.197964155,0.378060409,0.555226833,0.713409236
Cyprus,3.228109046,0.866028633,-5.43390366,-4.723413957,-5.68654084,-5.55216345,-3.278833115,-0.23173918,-0.189941552,0.454683405,1.911238043,2.005366121,2.006696184,1.846854288,1.81613949,1.603801397,1.692180434
Czech Republic,-0.653521755,-1.97968896,-5.450094379,-4.189741535,-2.72440939,-3.929937398,-1.247618425,-1.925523015,-0.630164653,0.73314981,1.303802312,1.124593542,0.99454162,0.5,0.5,0.5,0.5
C“te d'Ivoire,-0.537024044,-0.290098488,-1.384334415,-1.847965786,-3.993625212,-3.146751738,-2.240588738,-2.167798229,-2.822816222,-3.886238589,-4.265229798,-3.748185842,-3.031287757,-2.873493929,-2.902734876,-2.684317762,-2.630499865
Denmark,5.020456096,3.173907975,-2.798141618,-2.710215658,-2.055766184,-3.490444865,-1.235647209,1.144427647,-1.471011179,-0.408768409,-0.092530603,-0.819788964,-0.512219084,-0.339500616,-0.010732449,0.177088717,0.405209359
Dominican Republic,0.105153081,-3.249804156,-3.016830321,-2.730296033,-3.053567762,-6.565115814,-3.511388036,-2.975802254,-0.194688743,-2.814955817,-3.361866448,-2.998833283,-3.202766517,-3.231940159,-3.427467288,-3.65365901,-3.741922648
Ecuador,2.597920152,0.56232864,-3.569994934,-1.357407946,-0.126728357,-0.937175392,-4.570096766,-5.223922392,-5.263861361,-8.342016582,-5.349755005,-4.987508179,-3.690902582,-2.851252833,-2.752170394,-1.808318252,-1.598937984
Egypt,-4.898811489,-6.049311935,-6.195440023,-7.446819593,-9.600046002,-10.00495133,-12.92682219,-11.28648436,-10.93400723,-10.70411758,-11.36935844,-9.970727258,-6.621916436,-5.732615907,-3.421026511,-3.321413017,-3.178693992
Equatorial Guinea,,,,,,,,,,,,,,,,,
Estonia,2.71845821,-2.666393305,-2.181797481,0.187207172,1.157947009,-0.257275253,-0.170317408,0.67765785,0.069966585,-0.290306657,-0.134320231,-0.350430295,-0.181419794,-0.024591815,0.036060527,-0.008320229,-0.046921447
Ethiopia,-3.567435102,-2.882350064,-0.932116785,-1.320751331,-1.607127794,-1.171938787,-1.930531162,-2.582328858,-1.947067005,-2.340485188,-3.349121855,-2.455127325,-2.443068804,-2.292517919,-2.19661388,-2.125585256,-2.698606122
Finland,5.128521202,4.183551786,-2.527771793,-2.609834313,-1.044349288,-2.183259674,-2.613874436,-3.210625189,-2.723707563,-1.751377605,-1.386962133,-1.399016044,-0.861922216,-0.203189005,-0.118048207,-0.067025978,-0.079280246
France,-2.543701142,-3.183240223,-7.162288933,-6.794910735,-5.096965741,-4.813196807,-4.036201765,-3.928648092,-3.586111474,-3.406230189,-2.591721578,-2.425673354,-3.052958132,-1.959178479,-1.487425409,-0.973147292,-0.312020488
Gabon,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Germany,0.187249078,-0.17687197,-3.234997643,-4.220987109,-0.956783273,-0.033680654,-0.140363168,0.325152516,0.637294038,0.816590067,1.121363017,1.458816051,1.657878891,1.644048455,1.522700943,1.489812996,1.413072943
Ghana,-7.235665084,-8.003455908,-7.19941742,-10.06093893,-7.448790726,-11.29004623,-12.00367329,-10.93701569,-5.369974209,-8.851582698,-5.013225391,-5.042684667,-3.641332928,-3.479273728,-3.783278347,-3.728678857,-0.142243817
Greece,-6.707062893,-10.17604033,-15.14141133,-11.19713668,-10.27875322,-6.581975272,-3.626822545,-3.990797958,-2.868778075,0.521242946,0.033183815,-0.092530328,0.038257172,0.075577859,0.168538881,-0.122616298,-2.37025165
Guinea,1.263189428,0.374173012,-4.892582486,-9.649882794,-0.93571808,-2.510442501,-3.873610394,-3.20727301,-6.912974312,-0.149611585,-0.314012228,-2.128672754,-1.963045753,-1.696983032,-1.63321676,-1.901836852,-1.97967692
Haiti,-2.544764415,-2.969062041,-3.513593014,-2.736848152,-2.513157258,-4.757162906,-7.166954928,-6.370011546,-2.472670614,-0.081712423,-0.969578415,-2.467189246,-1.350792181,-1.2843314,-1.014368392,-0.78611528,-0.609388077
Honduras,-0.253748057,-0.266666666,-4.8648519,-3.371280219,-2.942645813,-3.483095592,-5.729798638,-2.89690526,-0.781103247,-0.398717382,-0.084713159,-0.793837011,-0.964948659,-0.993686037,-0.976686807,-0.989553521,-0.584179567
Hong Kong SAR,7.336117141,0.086453193,1.53153031,4.136219408,3.769995604,3.142969739,1.007556718,3.592105206,0.594780128,4.387645373,5.098555331,2.686287676,1.726716576,1.713461886,1.279020468,1.279020468,1.180631567
Hungary,-5.036122363,-3.618192937,-4.559973728,-4.495008356,-5.433892842,-2.301106728,-2.546748567,-2.063638079,-1.53672343,-1.826206779,-2.049735177,-2.074351406,-1.856172466,-1.860772139,-2.129160222,-2.262847054,-2.332764199
Iceland,4.911221633,-13.02996742,-9.63696349,-9.720497963,-5.563259703,-3.717715211,-1.831832907,-0.074039393,-0.812438479,12.61797438,1.645590299,1.233921664,1.130333415,1.221400883,1.300289408,1.154604132,1.115392248
India,-4.505137454,-8.982172837,-9.534028834,-8.625845182,-8.349151646,-7.549559685,-6.999618196,-7.165535019,-7.028615218,-6.65271715,-6.917395235,-6.542397258,-6.519473706,-6.391901866,-6.206244605,-6.046132478,-5.912424951
Indonesia,-0.947178171,0.054113001,-1.644115315,-1.242195971,-0.702931864,-1.586458811,-2.21677129,-2.145667473,-2.603505797,-2.485262797,-2.489867954,-2.502426524,-2.476555081,-2.493155422,-2.497524657,-2.509686653,-2.487963134
Iran,6.46764793,0.587707068,0.799211136,2.647304553,0.607006604,-0.321981057,-0.897657454,-1.139558466,-1.76307774,-2.268359862,-2.331852862,-1.380932638,-2.711023357,-2.734573585,-2.840924196,-2.92774955,-3.01660274
Iraq,,,,,,,,,,,,,,,,,
Ireland,0.288703799,-6.996736219,-13.79497428,-32.05503733,-12.73432363,-8.044536675,-6.121489876,-3.655175965,-1.899148357,-0.693150267,-0.445819391,-0.183771247,-0.098450215,0.174726392,0.566275123,0.812120302,0.953696898
Israel,-0.680429827,-2.769617058,-5.662821494,-3.679840131,-2.930809242,-4.791474495,-4.137979961,-3.347318578,-2.10686731,-2.111214706,-2.164679352,-3.155698391,-3.293027813,-3.358487833,-3.368487833,-3.358487833,-3.358487833
Italy,-1.526574803,-2.691906146,-5.269385165,-4.245584644,-3.7119052,-2.926735533,-2.949831734,-2.985889996,-2.575723562,-2.477053141,-1.933530237,-1.561409341,-0.894166117,-0.251939046,-0.000252629,-0.02960884,-0.027319553
Japan,-3.210396016,-4.530917735,-10.1924613,-9.534431529,-9.441373001,-8.613189181,-7.910518714,-5.635755389,-3.802564618,-3.663489868,-4.229318414,-3.449476429,-2.827984634,-2.231105004,-2.08070265,-1.986982546,-1.960323608
Jordan,,,,,,,,,,,,,,,,,
Kazakhstan,5.134713636,1.227136613,-1.328048731,1.469692441,5.811035816,4.430881642,4.945693539,2.481888534,-6.255848588,-5.492702388,-6.327748388,-2.293061488,-2.166427263,-1.776775011,-1.985434012,-1.667817834,-1.436335518
Kenya,-2.417758137,-3.379314233,-4.340435857,-4.411461707,-4.116999259,-5.031750353,-5.69640487,-7.390556211,-8.119527295,-8.310203343,-8.455274254,-7.485086462,-6.171534933,-5.344180874,-4.754081317,-4.38702571,-4.159690922
"Korea, Republic of",2.167261438,1.522778069,0.017665245,1.53322282,1.690810127,1.557831296,0.649877918,0.417619005,0.55296131,1.749825091,1.935694297,2.046439134,1.920529158,1.824417618,1.817413362,1.849904366,1.881197738
Kuwait,37.41128408,20.16517721,27.51346661,25.96242182,33.28149048,32.42760036,34.11378068,22.36244269,5.592903644,0.62666148,3.961911951,7.06646758,6.162248504,4.26437714,2.543777811,1.883431381,1.308545111
Kyrgyz Republic,-0.958708347,0.501181429,-1.453529872,-5.939050645,-4.70518576,-5.862490902,-3.699661158,0.542330454,-1.162237179,-4.562401803,-3.343828287,-2.537525482,-2.497718929,-2.302666592,-2.09904749,-1.895595905,-1.90334157
Lao P.D.R.,-2.396453564,-1.259261353,-3.620257404,-2.880761172,-1.55657181,-0.451212647,-4.971561575,-4.052212963,-2.362578913,-4.72392048,-4.920174542,-4.34684612,-4.154944155,-4.283814477,-4.669036463,-4.984715593,-5.02263224
Latvia,0.596710913,-3.151369639,-7.004953603,-6.480485596,-3.18724416,0.175330069,-0.559972649,-1.682189979,-1.535751451,-0.402010937,-0.024759874,-0.513721959,-0.869657893,-0.397742767,-0.228768957,-0.194571455,-0.163867951
Libya,28.58098021,32.50206406,-6.53411762,12.53399402,-17.23662631,28.55622233,-5.108009164,-73.80065434,-130.9598671,-113.3252243,-43.24718575,-39.31712104,-35.49806404,-38.01602888,-40.02343851,-41.97181578,-42.64227598
Lithuania,-0.998290802,-3.265734502,-9.328661786,-6.900738721,-8.943361864,-3.14688258,-2.620603165,-0.664511789,-0.207338611,0.260678644,0.597159973,0.706418967,0.849894203,0.902785239,0.729451455,0.677980518,0.639720323
Luxembourg,4.153700083,3.322702643,-0.672048463,-0.654590346,0.514542009,0.34775039,0.978937363,1.345791102,1.384786351,1.635515341,1.400207155,0.757210863,0.203135637,0.464760521,0.38550763,0.276829245,0.187094349
Madagascar,-2.678941471,-1.96341009,-2.543386123,-0.869492296,-2.385817868,-2.611666682,-3.98775464,-2.300421679,-3.311727293,-1.309899402,-3.483201144,-2.957644782,-5.091676094,-5.403747215,-4.702359326,-4.03529245,-2.153001988
Malaysia,-2.607520418,-3.453181409,-6.520155303,-4.526523438,-3.61830619,-3.755292481,-4.054742959,-2.665809916,-2.588131351,-2.612897917,-2.909623617,-2.664302773,-2.486149614,-2.331068238,-2.134665695,-1.941052453,-1.739093948
Mali,-2.784249125,-1.986501682,-3.720478211,-2.567534579,-3.416808715,-0.956306003,-2.370772122,-2.878007454,-1.821603076,-3.940451757,-2.869101619,-3.29673316,-3.001506056,-3.004947736,-3.043791319,-3.023754742,-2.987295518
Malta,-2.146771055,-4.181979243,-3.238511308,-2.392602963,-2.408473968,-3.490663,-2.431146414,-1.761281844,-1.092764689,1.107762531,1.876204616,1.568369011,1.10682478,0.728645831,0.560427384,0.468765786,0.465990638
Mexico,-1.13984538,-0.812365541,-4.92861011,-3.889904116,-3.367380111,-3.726331964,-3.70705461,-4.537971726,-4.002863107,-2.769349978,-1.074398956,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
Moldova,0.148232521,-0.870607993,-6.382820742,-2.614293258,-2.458438354,-2.308285138,-1.861398102,-1.888182041,-2.310408489,-2.094828351,-0.96534145,-3.18020928,-3.796262088,-3.630485785,-2.847606665,-2.758289975,-2.761380568
Mongolia,2.080895036,-3.135969306,-3.987375334,0.425427463,-4.013807877,-9.090202612,-8.89202712,-11.27779717,-8.529784766,-16.98155112,-1.934653504,-5.263855143,-4.244167783,-2.049811198,-0.936481496,-0.834362648,-0.69264711
Morocco,-0.125774634,0.677363559,-1.763163193,-4.255551826,-6.574812121,-7.176977665,-5.088298217,-4.848407566,-4.17021703,-4.088969894,-3.557432975,-2.986814729,-2.848325868,-2.694101573,-2.380047646,-2.172790539,-2.123633024
Mozambique,-2.52875224,-2.129999954,-4.884976941,-3.825152843,-4.827321334,-3.873215687,-2.742732963,-10.71861023,-7.17942856,-6.240430143,-5.470411044,-7.524208382,-10.84991836,-9.890098776,-9.623588762,-10.63269971,-9.94779191
